Station :0,000
Number of segments :1
   Segment 1
       0,310    0,484
       0,364    0,625
       0,417    0,775
       0,466    0,933
       0,490    1,016
       0,513    1,101
       0,535    1,189
       0,556    1,279
       0,576    1,372
       0,595    1,467
       0,612    1,564
       0,644    1,758
       0,670    1,945
       0,690    2,116
       0,705    2,265
       0,716    2,395
       0,730    2,625
-------------------------------

